Comments,OverallSentiment
Rooms were clean.,positive
Excellent value for money,positive
Parking too small. No free wifi in rooms. No crib for our child.,negative
"Comfortable rooms, outstanding breakfast, nice service",positive
Quiet location right on the beach.,positive
Pleasant service,positive
View on the beautiful countryside and the sea.,positive
Beautiful location,positive
"The service, the cleanness and neatness of  room and  bath room. Rich and imaginative breakfast buffet",positive
Outstanding services,positive
"Excellent location by the  beach, diverse excursion offerings, varied buffet, friendly service staff",positive
"Friendly room service, attentive staff",positive
The hotel staff was always very courteous. ,positive
"The breakfast buffet was very monotonous,  every morning the same offer and there were no fresh fruit",negative
"Clean hotel, ",positive
but small room.,negative
"the sun terrace was wonderful, and the spa was very nice.",positive
"Very quiet, ",positive
but very expensive,negative
"Breakfast Buffet, luxurious bathrooms. Friendliness of the staff, tour guides",positive
"Excellent price/quality ratio, great technical equipment of the room",positive
but noisy at night,negative
"Friendly service,  quietness and  cleanliness throughout the whole hotel. ",positive
"The beds were a bit too small, you could not stretch out.",negative
"Service, quiet location, room facilities, ",positive
but no parking facilities,negative
"Selection at  breakfast buffet, nice size of the rooms, attentive staff",positive
"nice atmosphere, great decoration, great service; ",positive
but  breakfast hours too limited.,negative
"Breakfast buffet, lounge, good service",positive
"I enjoyed the good food, the friendly staff, the room, the cleanliness, the view, the proximity to the city center,  beach, sea, the transport, the accessibility",positive
"My wife and I appreciated the size of rooms, the lounge, the spa and the restaurant.",positive
I appreciated the rooms and the service,positive
good service,positive
Small room but cosy. Great restaurant.,positive
Small but cozy room. ,positive
However night porter was extremely offensive,negative
Great room decor and the friendliness of the staff.,positive
Everything was fine. Hotel was in good condition,positive
Price-performance ratio is right. Location is fantastic. ,positive
The rooms are very well appointed,positive
The view is spectacular! Great renovation,positive
The location of the hotel is really great. ,positive
Poor staff,negative
"The rooms were newly renovated, quite spacious and  clean. Prices are reasonable.",positive
"a hotel with good price / performance ratio, ",positive
but air conditioning is not individually adjustable,negative
"We were very satisfied by the accommodation, the location and the service. Besides, rooms were extremely clean. We would return",positive
Very well-kept house in a central location.,positive
Highly recommended,positive
Hotel crew very friendly and accommodating.,positive
The hotel was very acceptable.,positive
The price was absolutely great,positive
The rooms are extremely clean and spacious.,positive
"The hotel is very quiet, ",positive
but rooms weren't cleaned daily.,negative
The staff was friendly and accommodating.,positive
Friendly and courteous staff.,positive
"We immediately felt comfortable, like at home.",positive
Very beautiful. The suites are well-furnished and very nice.,positive
very well run hotel,positive
quiet hotel,positive
very quiet Hhotel,positive
I highly recommend this hotel. Very nice and helpful service.,positive
Great hotel in a beautiful landscape,positive
Great location.,positive
The hotel is a dream for those seeking tranquility.,positive
The rooms are very well furnished and clean,positive
A very well-kept hotel.,positive
Excellent value for money,positive
"This hotel is a must  in every respect : cleanliness, quality and variety of food",positive
"family-friendly, quiet, clean.",positive
always trying to improve quality.,positive
The service was good.,positive
Service was fine.,positive
Outstanding and very cheap room service,positive
Good quality and hygiene,positive
Very good selection at the buffet.,positive
Varied food at breakfast.,positive
"Room was good, clean and well maintained. Air conditioning could be regulated.",positive
The apartments are well furnished.,positive
the bathroom was OK.,positive
Price-performance ratio is great!,positive
Super value for money!,positive
We were pleasantly surprised by the food. Buffet breakfast was always plentiful and delicious,positive
"The hotel is very quiet. For me, it was optimal.",positive
room ok.,positive
"Pool is nice, always clean and sun loungers always available!",positive
Great for children,positive
"Perfect location, outstanding staff. Excellent value for money",positive
Everything was excellent.,positive
A very clean facility with a beautiful apartment.,positive
The food was great and tasted good.,positive
The pool is clean,positive
"All in all a nice holiday in a clean, friendly environment.",positive
Staff very friendly and helpful,positive
the rooms are very modern and comfortable; the bathroom was large,positive
"All in all, the hotel was very good for a week, and is therefore highly recommended.",positive
Great location. One of the best hotels I've stayed in.,positive
good location.,positive
the location.,positive
Great location.,positive
We recommend this place,positive
Neat and clean hotel. Nice upgrades,positive
Decent hotel,positive
"Decent, clean hotel",positive
Clean hotel,positive
The technical service was impeccable.,positive
Very good food,positive
"Very friendly reception, ",positive
but bad odor in the bathroom.,negative
"Great service, food and rooms.",positive
Great indoor pool and  spa features,positive
Very spacious rooms,positive
good breakfast.,positive
very good staff,positive
II would like to commend the very friendly and attentive service.,positive
Food was delicious and varied,positive
a beautiful hotel in a fantastic location.,positive
Quiet hotel,positive
No free internet. No free TV. Room too small,negative
Room was smelly and tiny,negative
helpful staff,positive
"First, the prices, secondly, friendly staff",positive
Selection very good in the restaurant,positive
Location is great,positive
Pleasant staff,positive
Very quiet,positive
dinner was excellent.,positive
very good for families.,positive
Room was large and comfortable,positive
Waiter was very friendly. My room was a little tiny but comfortable.,positive
The main thing is  the good price,positive
conveniently located,positive
There was good variety in the buffet,positive
Excellent pool,positive
good hygiene,positive
"no noise, although it is very close to the airport.",positive
Room service was fast and not too expensive,positive
Breakfast was very good,positive
Clean and modern bathroom,positive
Nice hotel,positive
flawless stay,positive
Staff was very helpful,positive
nice spacious rooms,positive
The rooms were clean and the bathroom really smart.,positive
The food was tasty,positive
"The rooms are nice, overlooking the river",positive
Beautiful location,positive
very quiet,positive
Room was pretty clean,positive
Service and cleanliness as you would expect,positive
Friendly staff,positive
Room was clean,positive
"Very stylish, modern hotel",positive
good location,positive
friendly service,positive
good prices,positive
Everything was clean,positive
fast service,positive
good breakfast,positive
good selection in the restaurant,positive
"The food was good for the price, ",positive
"but the same ""menu of the day"" every day",negative
Location and price,positive
Staff very hardworking and polite,positive
bad,negative
Rude,negative
Expensive,negative
incompetent,negative
Dirty,negative
broken,negative
will never come back,negative
Excellent,positive
Courteous,positive
Cheap,positive
knowledgeable,positive
Clean,positive
In working order,positive
will definitely come back,positive
bad hotel,negative
Rude staff,negative
Expensive hotel,negative
incompetent staff,negative
Dirty hotel,negative
broken hotel,negative
will never come back to this hotel,negative
Excellent hotel,positive
Courteous staff,positive
Cheap hotel,positive
knowledgeable staff,positive
Clean hotel,positive
hotel In working order,positive
will definitely come back to this hotel,positive
the hotel is bad,negative
the staff was rude,negative
the hotel was expensive,negative
the staff was incompetent,negative
the hotel was dirty,negative
the hotel was broken,negative
the hotel was excellent,positive
the staff was courteous,positive
the hotel was cheap,positive
the staff was knowledgeable,positive
the hotel was clean,positive
the hotel was in working order,positive
will definitely come back,positive
the hotel is not that bad,positive
the staff was  not that  rude,positive
the hotel was  not that expensive,positive
the staff was  not that incompetent,positive
the hotel was  not that dirty,positive
the hotel was not that  broken,positive
the hotel was not that  excellent,negative
the staff was  not that  courteous,negative
the hotel was  not that cheap,negative
the staff was  not that knowledgeable,negative
the hotel was not that  clean,negative
the hotel was not always  in working order,negative
the staff was not that cold,negative
Nice location,positive
Very good service.,positive
very good hygiene. Bathroom was immaculate,positive
frankly nothing!,positive
"Hallway and stairs were clean and bright, ",positive
but the room and bathrom were dusty.,negative
Good price,positive
new sauna very good,positive
Breakfast was very good,positive
Room quite large,positive
Parking very useful,positive
Not cost-effective.,negative
Kid-friendly hotel; I'll definitely come back with my husband and children.,positive
Bar was very cozy; Good value for the money,positive
Everything was clean,positive
Room service very punctual,negative
Good prices,positive
Clean and modern hotel,positive
Room was warm and comfortable,positive
Very quiet. Relaxing,positive
Rooms and bathrooms were modern and clean,positive
No problem,positive
Good regional cuisine in the restaurant,positive
easy to reach by car.,positive
Food was great. I had a wonderful time there.,positive
Outstanding atmosphere.,positive
Breakfast was very good and included in the price.,positive
Dining room and bar always clean. Hotel close to the airport.,positive
Entrance hall modern and fresh,positive
Good prices,positive
Very quiet,positive
Parking too expensive,negative
"The hotel was extremely clean, the staff was always friendly",positive
The service was good and as expected,negative
Bathroom was very clean,positive
Rooms very clean,positive
I enjoyed the regional cuisine and regional wine,positive
The only problem with the rooms is that you can not turn off the air conditioning,negative
Very old bathtub (but clean!),negative
No upgarde,negative
 Everything costs extra unfortunately.,negative
lack of sports program,negative
no sports facilities,negative
the food could be improved in terms of quality.,negative
This hotel is  the worst place I've visited,negative
Good service and price. ,positive
"However, I cannot recommend the restaurant",negative
Very unfriendly reception.,negative
An uncomprehensive reception !! Check-in took hours.,negative
Breakfast was too expensive;  basic breakfast was always the same.,negative
"They gave us a very nice suite, ",positive
but once the food was cold,negative
The dining room was a bit dark,negative
My wife and I have been guests in your hotel for the third time; We're extremely satisfied with our stay,positive
Parking could be free,negative
Hotel was hard to find,negative
", but fantastic service",positive
Great food!,positive
Disappointing view. My room smelled tobacco smoke.,negative
the service was too slow.,negative
small room. No room service available and no restaurant.,negative
Wine was too expensive,negative
no safe in the room,negative
Bad smell on the 4th floor.,negative
I would like to have Internet access,negative
"The bed was uncomfortable, the carpet was dirty",negative
the corridor was too dark,negative
Waitresses could not say whether the food was nut free. I have a nut allergy,negative
the service was  slow.,negative
no choice for breakfast,negative
there was no internet connection,negative
The meal times were too early,negative
The breakfast costs extra,negative
A nice clean well-staffed hotel.,positive
Room was not cleaned daily,negative
The swimming pool was always closed,negative
Breakfast does not take long enough,negative
The bed was not comfortable,negative
The TV set was broken,negative
A perfect stay.,positive
poorly maintained hotel,negative
too much noise in the evening,negative
There was no soap in the bathroom,negative
Heating was too noisy (at night),negative
"In the restaurant, dishes were very old and scruffy",negative
One of the waitresses was very rude,negative
Expensive and poor room service,negative
Juice was not fresh,negative
no hairdryer in the room,negative
Mattresses were very uncomfortable,negative
Room next to the lifts. Very noisy,negative
Terrible music in the bar,negative
Mirror in bathroom was dirty,negative
Furniture very old-fashioned. Hard mattress,negative
not enough family rooms,negative
No Internet access,negative
Hotel lounge  is not very user-friendly,negative
dissatisfied with my room - quite too small,negative
Hotel not centrally located; I was there for business but wouldn't come back for leisure,negative
Bathroom was too small,negative
bad facilities,negative
Small conference rooms,negative
unfriendly waitress,negative
Bed was too hard,negative
Parking was too dark,negative
Bar was too expensive,negative
too many children,negative
Sheets were uncomfortable,negative
no chair in room,negative
Not possible to arrive by bus; Low-quality room amenities.,negative
Nice location ,positive
but too far from the train station,negative
Absolutely trouble-free late check-out. Super Service.,positive
"The hotel is outdated. Small room, low amenities.",negative
Rooms too anonymous. Extras too expensive.,negative
Nice place ,positive
but the kitchen is not so good and overpriced.,negative
Old-fashioned and worn interiors of the rooms.,negative
Access to the pool for a fee,negative
The carpet in the room was stained,negative
All are very friendly and all have been helpful.,positive
"Atmosphere, friendliness",positive
"Service, friendliness, cleanliness",positive
Great service ,positive
but very tired-restoration / renovation urgently needed!,negative
Excellent operation and reception.,positive
Breakfast Buffet,positive
great location,positive
perfect location,positive
All our expectations were not only met but exceeded! Very friendly and helpful staff,positive
"No wireless LAN in the rooms, rooms poor, broken AC",negative
"no wifi in the rooms, rooms bad",negative
Very attentive and helpful staff at reception,positive
The reservation has not worked.,negative
Perfect reservation,positive
The reservations have worked out great.,positive
The breakfast buffet was excellent and the staff very friendly,positive
Check out was very good.,positive
The soundproofing was very good,positive
"Unfortunately, the rooms are very dated and uncomfortable.",negative
"Unfortunately, the bathroom was very poorly cleaned.",negative
The lift is too small.,negative
Elevator very convenient,positive
Preferred Guest upgrade,positive
No Upgrade,negative
Free Room Upgrade,positive
A room upgrade was offered to me with an extra charge,positive
Superb breakfast buffet. We'll definitely come back.,positive
Excellent upgrade program for the rooms,positive
"Luxurious rooms, excellent location",positive
Upgrade was not offered to me,negative
"Excellent infrastructure, great food, perfect location",positive
Beautiful hotel with good price performance ratio,positive
The price,positive
Good price-performance ratio,positive
"The hotel is nice, but not centrally located.",positive
Bad location,negative
The surroundings at the hotel were very well maintained.,positive
The area around the hotel was very poor,negative
Centrally located,positive
Beautiful surroundings.,positive
Top location,positive
"The area was very well maintained, rooms very large",positive
Room Quality,positive
Fabulous size of the room,positive
Great room Size,positive
Free WiFi in the room,positive
No free WiFi in the room,negative
No free WiFi,negative
The hotel is outdated.,negative
The stay was unfortunately very disappointing.,negative
